# ANZ150_position_x_set	index0_set	index1_set	daq_ai_voltage
# "x position"	"index0"	"index1"	"Voltage"
# 100	6	100
-1.6	1	77	2.54078618674757
-1.6	1	78	2.54073312938019
-1.6	1	79	2.54076540415557
-1.6	1	80	2.54077362052927
-1.6	1	81	2.54074644742408
-1.6	1	82	2.54077711114545
-1.6	1	83	2.54065912831513
-1.6	1	84	2.54060526542078
-1.6	1	85	2.54047219238764
-1.6	1	86	2.54042117568803
-1.6	1	87	2.54046188164403
-1.6	1	88	2.54073280716948
-1.6	1	89	2.54081894483914
-1.6	1	90	2.54076910957904
-1.6	1	91	2.5407455881957
-1.6	1	92	2.54075181760292
-1.6	1	93	2.5407069229073
-1.6	1	94	2.5407294239567
-1.6	1	95	2.54072593334057
-1.6	1	96	2.54069924355133
-1.6	1	97	2.54073130351963
-1.6	1	98	2.54075283793689
-1.6	1	99	2.5408069156385

-1.6	2	0	0.0612672795391219
-1.6	2	1	0.0616242872303161
-1.6	2	2	0.0621914289613861
-1.6	2	3	0.06291070709316
-1.6	2	4	0.0634826819614265
-1.6	2	5	0.0636553323418713
-1.6	2	6	0.0633755474330003
-1.6	2	7	0.0629196215451368
-1.6	2	8	0.0627816623454075
-1.6	2	9	0.0629664492688302
-1.6	2	10	0.0631096175158023
-1.6	2	11	0.0633992298024164
-1.6	2	12	0.0635151713798264
-1.6	2	13	0.0639979480269241
-1.6	2	14	0.0647080432001785
-1.6	2	15	0.0648825731339032
-1.6	2	16	0.0646488104257293
-1.6	2	17	0.064478093299813
-1.6	2	18	0.0643385767558808
-1.6	2	19	0.0647378475426925
-1.6	2	20	0.0648693088589403
-1.6	2	21	0.0645165435867454
-1.6	2	22	0.0641966973451977
-1.6	2	23	0.0643401878014221
-1.6	2	24	0.0642025508106707
-1.6	2	25	0.0639018760111451
-1.6	2	26	0.0637076376204155
-1.6	2	27	0.0640238321586166
-1.6	2	28	0.064753313579935
-1.6	2	29	0.0652689018550498
-1.6	2	30	0.064696014060133
-1.6	2	31	0.0640031570741753
-1.6	2	32	0.0635032496428233
-1.6	2	33	0.0634116885545976
-1.6	2	34	0.0636892179997478
